id,Lng,Lat,Cid,tradeTime,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,fiveYearsProperty,subway,district
101084782030,116.475489,40.01952,1111027376244,2016-08-09,106,415,31680,131,2,1,1,1,26,1,2005,3,6,1,0,1,7
101086012217,116.453917,39.881534,1111027381879,2016-07-28,126,575,43436,132.38,2,2,1,2,22,1,2004,4,6,1,1,0,7
101086041636,116.561978,39.877145,1111040862969,2016-12-11,48,1030,52021,198,3,2,1,3,4,4,2005,3,6,1,0,0,7
101086406841,116.43801,40.076114,1111043185817,2016-09-30,138,297.5,22202,134,3,1,1,1,21,1,2008,1,6,1,0,0,6
101086920653,116.428392,39.886229,1111027381174,2016-08-28,286,392,48396,81,2,1,1,1,6,4,1960,2,2,0,1,1,1
101087277815,116.46628,39.991363,1111027377512,2016-07-22,57,275.6,52000,53,1,0,1,1,8,4,2005,3,6,1,1,0,7
101087292623,116.482586,39.891991,1111027380683,2016-07-14,167,275,37672,73,2,1,1,1,6,4,1997,4,2,0,0,0,7
101087303800,116.453917,39.881534,1111027381879,2016-09-07,138,800,49521,161.55,3,2,1,2,22,1,2004,4,6,1,1,0,7
101087463212,116.555729,40.162058,1111027379605,2016-09-04,218,134,27917,48,1,0,1,1,10,3,2009,1,2,0,0,0,13
101087508625,116.453086,39.898397,1111027374519,2016-09-05,134,380,55883,68,1,0,0,0,23,1,2009,4,6,1,1,1,1
101087793667,116.555729,40.162058,1111027379605,2016-08-03,74,126,26250,48,1,1,1,1,11,3,2009,3,2,0,1,0,13
101087812155,116.399018,39.978141,1111027382251,2016-08-17,65,896,91710,97.7,3,1,1,1,6,4,1991,3,2,0,1,1,10
101087919464,116.296286,39.870107,1111027382679,2016-06-17,90,285,35568,80.13,1,1,1,1,24,1,2001,4,6,1,0,1,2
101087921597,116.32922,39.892447,1111027379961,2016-09-20,76,360,60607,59.4,2,1,1,1,26,1,1990,3,6,1,0,1,2
101087926378,116.405549,39.975629,1111027379201,2016-07-22,39,700,39115,178.96,4,1,1,1,23,1,1997,3,6,1,1,1,7
101087957433,116.284755,39.93453,1111027376911,2016-09-17,6,212,32981,64.28,1,0,1,1,19,1,2009,3,6,1,0,1,8
101088008763,116.603852,39.893276,1111027375170,2016-06-20,130,336,30189,111.3,2,1,1,1,6,4,2008,4,6,1,1,0,7
101088050742,116.284755,39.93453,1111027376911,2016-08-23,41,174.6,33577,52,1,0,1,1,19,1,2009,3,6,1,0,1,8
101088145348,116.507351,39.934957,1111043267862,2016-07-15,20,1950,63228,308.41,5,2,1,4,18,4,2011,4,6,1,0,1,7
101088175163,116.448302,39.960966,1111027374893,2016-07-28,276,176,29000,60.69,1,1,1,1,25,1,2008,4,6,1,1,0,7
